date
2.95
4.17
5.49
6.56
8.15
8.38
8.7
9.18
9.27
9.8
10.2
10.25
10.4
10.6
10.8
10.99
11.41
11.5
11.6
12.1
12.6
13.0
13.2
13.21
13.54
13.8
13.88
13.96
14.0
14.04
14.3
14.56
14.6
14.7
14.7
14.8
14.95
15.02
15.02
15.4
16.2
16.4
16.4
16.5
16.5
16.6
16.6
16.8
16.9
16.9
17.35
17.4
17.46
17.49
17.5
17.83
17.9
18.01
18.06
18.75
18.8
18.8
18.8
19.02
19.1
19.2
19.9
20.1
20.24
20.4
20.4
20.6
20.66
20.7
21.0
21.1
21.2
21.38
21.5
21.7
21.8
22.3
22.4
22.4
22.8
22.81
23.3
23.44
23.9
23.9
24.0
24.08
24.3
24.4
24.4
24.55
24.8
24.9
24.9
25.0
25.28
25.53
25.75
26.0
26.16
26.2
26.5
26.74
27.4
27.6
27.8
28.2
28.4
28.5
28.8
28.88
28.9
29.0
29.1
29.2
29.25
30.0
30.0
30.1
30.4
30.7
31.2
31.2
31.47
31.5
31.5
31.6
31.7
31.7
31.75
31.8
31.9
31.94
32.24
32.4
32.7
32.77
32.9
32.9
33.08
33.4
33.5
33.6
33.6
33.78
33.8
33.89
33.9
33.97
34.8
34.96
35.3
35.5
35.8
36.1
36.3
36.55
36.6
36.7
36.8
37.4
37.9
38.0
38.34
38.5
38.94
39.3
39.8
39.99
40.11
40.3
40.38
40.4
41.3
41.4
41.6
41.7
42.2
42.5
43.0
43.08
43.16
43.62
43.9
44.1
44.1
44.75
45.1
45.3
46.11
46.12
46.2
46.2
46.3
46.32
46.6
46.6
46.7
47.0
47.52
48.7
50.89
51.87
52.26
53.41
54.1
54.4
55.2
55.3
55.57
56.79
58.4
59.5
61.7
63.0
64.7
66.4
68.0
68.6
70.7
71.6
